63Ni_0M	0	0	16462.7	1490.11	16435.7	1490.1
62Ni_0M	0	0	14588.8	2125.71	14588.8	2125.71
63Ni_0M	1	0	16474.9	1476.24	16431.9	1472.36
62Ni_0M	1	0	14593.4	2110.22	14593.4	2110.22
63Ni_0M	2	0	16367.3	1508.22	16349.5	1501.78
62Ni_0M	2	0	14470.4	2151.31	14470.4	2151.31
63Ni_0M	3	0	16435.9	1482.33	16391.9	1479.54
62Ni_0M	3	0	14544.2	2107.68	14544.2	2107.68
63Ni_0M	4	0	16153.9	1584.72	16109.8	1581.36
62Ni_0M	4	0	14090.1	2294.18	14090.1	2294.18
63Ni_0M	5	0	16259.3	1572.59	16200.9	1573.05
62Ni_0M	5	0	14263.2	2272.8	14263.2	2272.8
63Ni_0M	6	0	15956.5	1640.69	15956.5	1640.69
62Ni_0M	6	0	13605.9	2519.77	13605.9	2519.77
63Ni_0M	7	0	16032	1669.22	15994.6	1663.26
62Ni_0M	7	0	13969.7	2397.58	13969.7	2397.58
63Ni_0M	8	0	15923	1697.32	15864.8	1691.75
62Ni_0M	8	0	13805.1	2441.59	13805.1	2441.59
63Ni_0M	9	0	15572	1753.56	15572	1753.56
62Ni_0M	9	0	16161.3	1237.03	16161.3	1234.59
63Ni_0M	10	0	16053.5	1623.59	16018.2	1619.73
62Ni_0M	10	0	13982.5	2354.75	13982.5	2354.75
63Ni_0M	11	0	15988.5	1677.7	15951.9	1671.63
62Ni_0M	11	0	13869.3	2422.88	13869.3	2422.88
63Ni_0M	12	0	16300.1	1556.45	16255	1553.77
62Ni_0M	12	0	14355.7	2226.26	14355.7	2226.26
63Ni_0M	13	0	16171.2	1561.82	16142.9	1555.76
62Ni_0M	13	0	14071.8	2281.95	14071.8	2281.95
63Ni_0M	14	0	16463.3	1471.42	16440.4	1468.01
62Ni_0M	14	0	14583.4	2099.07	14583.4	2099.07
63Ni_0M	15	0	16459.8	1493.87	16416	1493.27
62Ni_0M	15	0	14880.6	2100.12	14880.6	2098.5
