62Ni_0M	0	37	4699.62	2770.55	4701.77	2763.76
62Ni_1M	0	37	4125.17	2953.67	4115.39	2953.67
63Ni_0M	0	38	5664.91	1837.63	5657.12	1829.63
62Ni_0M	0	38	4796.88	2661.67	4796.46	2668.44
62Ni_1M	0	38	4257.95	2829.33	4250.33	2822.99
63Ni_0M	0	39	5645.37	1865.59	5632.83	1850.92
62Ni_0M	0	39	4766.47	2696.56	4764.91	2694.84
62Ni_1M	0	39	4209.61	2882.54	4207.64	2875.79
63Ni_0M	0	40	5703.95	1800.33	5692.13	1790.01
62Ni_0M	0	40	4850.59	2604.23	4850.83	2595.01
62Ni_1M	0	40	4308.47	2774.45	4305.98	2769.37
63Ni_0M	0	41	5680.95	1825.84	5673.31	1809.47
62Ni_0M	0	41	4823.75	2628.8	4820.49	2632.38
62Ni_1M	0	41	4286.06	2810.12	4279.82	2797.65
62Ni_2M	0	41	3683.71	2992.91	3648.63	2980.11
63Ni_0M	0	42	5738.91	1760.02	5719.08	1748.18
62Ni_0M	0	42	4901.66	2541.2	4902.03	2540.61
62Ni_1M	0	42	4366.47	2696.06	4366.65	2681.4
62Ni_2M	0	42	3733.07	2896.49	3724.57	2889.29
63Ni_0M	0	43	5724.9	1777.05	5706.03	1765.2
62Ni_0M	0	43	4878.22	2569.71	4877.69	2568.75
62Ni_1M	0	43	4342.84	2732.7	4333.91	2719.83
62Ni_2M	0	43	3790.46	2904.74	3778.76	2904.74
63Ni_0M	0	45	5757.68	1739.12	5744.97	1727.94
62Ni_0M	0	45	4934.34	2529.18	4933.3	2514.33
62Ni_1M	0	45	4399.37	2669.7	4399.57	2662.35
62Ni_2M	0	45	3801.55	2851.13	3786.9	2837.12
63Ni_0M	0	46	5808.12	1680.59	5791.89	1661.66
62Ni_0M	0	46	5001.66	2430.42	5004.4	2425.03
62Ni_1M	0	46	4480.74	2571.09	4479.86	2561.78
62Ni_2M	0	46	3869.96	2753.67	3856.98	2741.74
63Ni_0M	0	47	5783.83	1710.59	5773.09	1698.7
62Ni_0M	0	47	4970.25	2484.75	4978.02	2467.58
62Ni_1M	0	47	4440.11	2624.76	4437.29	2609.19
62Ni_2M	0	47	3834.49	2822.77	3806.63	2796.54
63Ni_0M	1	0	5918	1387.79	5908.27	1384.96
62Ni_0M	1	0	5300.33	1982.06	5300.33	1980.81
63Ni_0M	1	1	5796.86	1539.16	5780.98	1539.16
63Ni_0M	1	2	5939.28	1414.99	5915.51	1418.41
62Ni_0M	1	2	5286.67	2016.93	5282.32	2013.03
62Ni_1M	1	2	4773.66	2149.13	4761.73	2143.33
62Ni_2M	1	2	4248.64	2299.13	4223.28	2298.05
63Ni_0M	1	3	5905.68	1446.01	5888.16	1441.52
62Ni_0M	1	3	5245.11	2058.78	5249.64	2045.55
62Ni_1M	1	3	4729.49	2175.16	4730.63	2173.33
62Ni_2M	1	3	4187.11	2327.88	4167.89	2327.45
63Ni_0M	1	4	5892.47	1458.67	5872.39	1454.5
62Ni_0M	1	4	5230.24	2073.46	5235.36	2061.09
62Ni_1M	1	4	4706.96	2196.65	4708.08	2195.15
62Ni_2M	1	4	4170.51	2349.27	4154.93	2343.42
63Ni_0M	1	5	5876.76	1473.07	5855.19	1468.36
62Ni_0M	1	5	5214.75	2085.56	5215.95	2076.27
62Ni_1M	1	5	4687.7	2225.75	4686.42	2220.6
62Ni_2M	1	5	4145.35	2374.21	4130.26	2370.55
63Ni_0M	1	6	5862	1487.95	5844.29	1481.84
62Ni_0M	1	6	5199.16	2090.72	5199.38	2093.24
62Ni_1M	1	6	4664.51	2249.8	4661.44	2245.3
62Ni_2M	1	6	4129.89	2409.19	4118.35	2398.74
63Ni_0M	1	7	5847.91	1501.12	5828.24	1496.55
62Ni_0M	1	7	5181.15	2114.16	5179.72	2110.88
62Ni_1M	1	7	4638.07	2280.16	4640.82	2270.48
62Ni_2M	1	7	4105.49	2422.75	4096.05	2407.2
63Ni_0M	1	8	5832.69	1517.21	5806.97	1511.55
62Ni_0M	1	8	5161.83	2130.22	5158.93	2124.81
62Ni_1M	1	8	4618.04	2301.68	4619.99	2297.92
62Ni_2M	1	8	4086.31	2453.04	4082.74	2432.55
63Ni_0M	1	9	5816.2	1534.46	5796.15	1526.9
62Ni_0M	1	9	5131.9	2163.06	5129.19	2156.96
62Ni_1M	1	9	4596.68	2328.47	4598.13	2323.17
62Ni_2M	1	9	4042.46	2488.64	4032.6	2474.04
63Ni_0M	1	10	5802.09	1548.91	5780.16	1542.8
62Ni_0M	1	10	5087.9	2209.6	5087.9	2201.81
62Ni_1M	1	10	4576.25	2357.04	4575.51	2357.98
62Ni_2M	1	10	4036.43	2520.78	4032.69	2504.72
63Ni_0M	1	11	5785.73	1566.99	5764.21	1559.51
62Ni_0M	1	11	5054.11	2243.58	5053.36	2238.26
62Ni_1M	1	11	4545.68	2391.94	4546.65	2389.46
62Ni_2M	1	11	4011.95	2543.91	3996.9	2535.39
63Ni_0M	1	12	5767.87	1584.76	5747.26	1575.55
62Ni_0M	1	12	5010.37	2290.15	5012.42	2283.12
62Ni_1M	1	12	4519.37	2415.29	4523.2	2412.78
62Ni_2M	1	12	3948.56	2595.55	3932.56	2575.48
63Ni_0M	1	13	5748.54	1604.97	5730.38	1590.54
62Ni_0M	1	13	4994.07	2312.25	4996.68	2314.36
62Ni_1M	1	13	4494.86	2447.24	4493.84	2441.47
62Ni_2M	1	13	3962.86	2598.89	3949.25	2582.59
63Ni_0M	1	14	5735.2	1619.28	5714.47	1608.1
62Ni_0M	1	14	4979.39	2336.99	4977.17	2334.49
62Ni_1M	1	14	4472.21	2456.76	4468.14	2462.39
62Ni_2M	1	14	3934.76	2625.27	3908.34	2610.05
63Ni_0M	1	15	5716.13	1638.06	5698.68	1622.48
62Ni_0M	1	15	4955.84	2354.66	4957.05	2355.6
62Ni_1M	1	15	4447.72	2497.99	4451.69	2492.09
62Ni_2M	1	15	3896.42	2662.51	3878.83	2654.18
63Ni_0M	1	20	5761.73	1578.82	5761.73	1578.82
63Ni_0M	1	21	5796.21	1542.7	5796.21	1542.7
63Ni_0M	1	22	5807.86	1557.33	5807.86	1557.33
63Ni_0M	1	23	5781.97	1557.63	5781.97	1557.63
63Ni_0M	1	24	5825.17	1507.83	5825.17	1507.83
63Ni_0M	1	25	5776.5	1543.8	5776.5	1543.8
63Ni_0M	1	27	5829.43	1540.21	5829.43	1540.21
63Ni_0M	1	28	5366.36	2018.62	5351.04	2016.97
63Ni_0M	1	29	4415.37	2974.74	4411.8	2966.6
63Ni_0M	1	30	3935.45	3029.1	3935.45	3029.1
62Ni_0M	1	30	5408.02	1976.82	5395.2	1972.23
62Ni_1M	1	30	4496.59	2882.22	4496.1	2874.17
62Ni_2M	1	30	3949.48	3049.56	3949.48	3049.56
63Ni_0M	1	31	5387.99	1997.41	5372.83	1990.68
62Ni_0M	1	31	4468.63	2912.91	4469.06	2906.18
62Ni_1M	1	31	3879.41	3114.77	3879.41	3110.9
63Ni_0M	1	32	5449.7	1935.51	5436.45	1925.87
62Ni_0M	1	32	4564.32	2804.53	4564.9	2803.25
62Ni_1M	1	32	4000.17	2986.79	3996.67	2986.79
63Ni_0M	1	33	5431.77	1955.46	5420.54	1944.48
63Ni_0M	1	34	4621.16	2746.77	4623.07	2735.85
63Ni_0M	1	35	5472	1915.67	5460.91	1902.6
62Ni_0M	1	35	4599.86	2768.27	4601.42	2759.79
62Ni_1M	1	35	4058.62	2954.44	4056.16	2950.48
63Ni_0M	1	36	5531.09	1849.27	5521.31	1834.61
62Ni_0M	1	36	4681.33	2675.21	4683.05	2671.82
62Ni_1M	1	36	4144.2	2842.93	4143.43	2825.94
63Ni_0M	1	37	5515.06	1863.36	5503.21	1856.48
62Ni_0M	1	37	4656.54	2704.28	4655.35	2703.64
62Ni_1M	1	37	4114.33	2874.46	4103.3	2873.55
63Ni_0M	1	38	5569.38	1805.76	5554.78	1795.9
62Ni_0M	1	38	4738.03	2607.22	4739.04	2605.9
62Ni_1M	1	38	4192.39	2780.1	4193.68	2770.28
62Ni_2M	1	38	3626.03	2988.86	3605.54	2977.75
63Ni_0M	1	39	5553.45	1824.54	5539.22	1814.16
62Ni_0M	1	39	4713.52	2640.4	4715.06	2636.44
62Ni_1M	1	39	4172.76	2820.67	4171.26	2806.43
62Ni_2M	1	39	3568.96	3035.77	3556	3035.77
63Ni_0M	1	40	5604.79	1765.71	5586.13	1751.99
62Ni_0M	1	40	4790.83	2550.1	4791.19	2550.12
62Ni_1M	1	40	4263.73	2712.82	4266.29	2701.06
62Ni_2M	1	40	3699.35	2896.16	3680.78	2896.16
63Ni_0M	1	41	5585.43	1786.12	5571.3	1776.92
62Ni_0M	1	41	4767.62	2577.26	4767.58	2579.05
62Ni_1M	1	41	4246.13	2740.95	4247.28	2727.45
62Ni_2M	1	41	3606.39	2960.51	3579.32	2950.87
63Ni_0M	1	42	5636.54	1724.21	5619.5	1715.99
62Ni_0M	1	42	4839.25	2488.55	4839.71	2488.82
62Ni_1M	1	42	4316.42	2649.15	4315.96	2643.23
62Ni_2M	1	42	3735.24	2844.98	3733.94	2841.44
63Ni_0M	1	43	5624.52	1743.87	5605.1	1732.29
62Ni_0M	1	43	4816.9	2516.3	4816.1	2519.14
62Ni_1M	1	43	4288.27	2673.58	4292.5	2667.96
62Ni_2M	1	43	3705.57	2863.87	3696.12	2863.87
63Ni_0M	1	45	5656.33	1705.11	5636.94	1696.79
62Ni_0M	1	45	4864.01	2479.56	4870.14	2457.23
62Ni_1M	1	45	4347.86	2616.19	4350.91	2607.34
62Ni_2M	1	45	3776.26	2790.15	3755.15	2784
63Ni_0M	1	46	5701.73	1654.31	5683.58	1638.96
62Ni_0M	1	46	4933.64	2381.26	4935.22	2380.82
62Ni_1M	1	46	4421.94	2523.31	4420.21	2509.44
62Ni_2M	1	46	3831.96	2707.97	3810.98	2690.61
63Ni_0M	1	47	5681.43	1676.11	5664.8	1668.53
62Ni_0M	1	47	4902.94	2436.25	4904.79	2421.68
62Ni_1M	1	47	4390.5	2566	4391.18	2564.73
62Ni_2M	1	47	3849.9	2736.06	3835.19	2720.47
